X,Y,Z
518224.9592,5256712.102,558
518224.9592,5257288.041,577
518224.9592,5257863.98,651
518224.9592,5258439.918,405
518224.9592,5259015.857,237
518224.9592,5259591.796,169
518224.9592,5260167.735,271
518224.9592,5260743.673,304
518224.9592,5261319.612,245
518224.9592,5261895.551,209
518224.9592,5262471.49,137
518224.9592,5263047.429,169
518224.9592,5263623.367,216
518224.9592,5264199.306,201
518224.9592,5264775.245,124
518224.9592,5265351.184,79
518224.9592,5265927.122,53
518224.9592,5266503.061,60
518224.9592,5267079,0
518833.5918,5238858,136
518833.5918,5239433.939,105
518833.5918,5240009.878,157
518833.5918,5240585.816,232
518833.5918,5241161.755,245
518833.5918,5241737.694,265
518833.5918,5242313.633,268
518833.5918,5242889.571,276
518833.5918,5243465.51,268
518833.5918,5244041.449,324
518833.5918,5244617.388,389
518833.5918,5245193.327,542
518833.5918,5245769.265,713
518833.5918,5246345.204,754
518833.5918,5246921.143,705
518833.5918,5247497.082,905
518833.5918,5248073.02,1089
518833.5918,5248648.959,1170
518833.5918,5249224.898,1221
518833.5918,5249800.837,1237
518833.5918,5250376.776,1248
518833.5918,5250952.714,1240
518833.5918,5251528.653,1014
518833.5918,5252104.592,789
518833.5918,5252680.531,729
518833.5918,5253256.469,590
518833.5918,5253832.408,372
518833.5918,5254408.347,283
518833.5918,5254984.286,208
518833.5918,5255560.224,259
518833.5918,5256136.163,435
518833.5918,5256712.102,420
518833.5918,5257288.041,419
518833.5918,5257863.98,500
518833.5918,5258439.918,386
518833.5918,5259015.857,251
518833.5918,5259591.796,130
518833.5918,5260167.735,234
518833.5918,5260743.673,245
518833.5918,5261319.612,113
518833.5918,5261895.551,149
518833.5918,5262471.49,142
518833.5918,5263047.429,80
518833.5918,5263623.367,120
518833.5918,5264199.306,126
518833.5918,5264775.245,78
518833.5918,5265351.184,70
518833.5918,5265927.122,40
518833.5918,5266503.061,11
518833.5918,5267079,0
519442.2245,5238858,77
519442.2245,5239433.939,70
519442.2245,5240009.878,150
519442.2245,5240585.816,148
519442.2245,5241161.755,219
519442.2245,5241737.694,250
519442.2245,5242313.633,273
519442.2245,5242889.571,279
519442.2245,5243465.51,282
519442.2245,5244041.449,303
519442.2245,5244617.388,350
519442.2245,5245193.327,451
519442.2245,5245769.265,551
519442.2245,5246345.204,646
519442.2245,5246921.143,573
519442.2245,5247497.082,733
519442.2245,5248073.02,895
519442.2245,5248648.959,966
519442.2245,5249224.898,1008
519442.2245,5249800.837,988
519442.2245,5250376.776,1177
519442.2245,5250952.714,1210
519442.2245,5251528.653,905
519442.2245,5252104.592,640
519442.2245,5252680.531,518
519442.2245,5253256.469,429
519442.2245,5253832.408,314
519442.2245,5254408.347,274
519442.2245,5254984.286,207
519442.2245,5255560.224,258
519442.2245,5256136.163,392
519442.2245,5256712.102,370
519442.2245,5257288.041,243
519442.2245,5257863.98,251
519442.2245,5258439.918,311
519442.2245,5259015.857,206
519442.2245,5259591.796,144
519442.2245,5260167.735,100
519442.2245,5260743.673,128
519442.2245,5261319.612,125
519442.2245,5261895.551,80
519442.2245,5262471.49,74
519442.2245,5263047.429,57
519442.2245,5263623.367,66
519442.2245,5264199.306,74
519442.2245,5264775.245,44
519442.2245,5265351.184,24
519442.2245,5265927.122,0
519442.2245,5266503.061,0
519442.2245,5267079,0
520050.8571,5238858,78
520050.8571,5239433.939,159
520050.8571,5240009.878,132
520050.8571,5240585.816,163
520050.8571,5241161.755,260
520050.8571,5241737.694,285
520050.8571,5242313.633,285
520050.8571,5242889.571,309
520050.8571,5243465.51,293
520050.8571,5244041.449,320
520050.8571,5244617.388,354
520050.8571,5245193.327,472
520050.8571,5245769.265,394
520050.8571,5246345.204,393
520050.8571,5246921.143,491
520050.8571,5247497.082,562
520050.8571,5248073.02,633
520050.8571,5248648.959,735
520050.8571,5249224.898,669
520050.8571,5249800.837,741
520050.8571,5250376.776,773
520050.8571,5250952.714,856
520050.8571,5251528.653,776
520050.8571,5252104.592,549
520050.8571,5252680.531,451
520050.8571,5253256.469,380
520050.8571,5253832.408,389
520050.8571,5254408.347,253
520050.8571,5254984.286,171
520050.8571,5255560.224,120
